point	period	clk_before	clk_after	pull_team	scor_team	sfoDF	vanNH
1	1	10:00:00	9:24:00	vanNH	vanNH	0	1
2	1	9:24:00	8:24:00	vanNH	vanNH	0	2
3	1	8:24:00	6:51:00	vanNH	vanNH	0	3
4	1	6:51:00	4:56:00	vanNH	sfoDF	1	3
5	1	4:56:00	4:22:00	sfoDF	sfoDF	2	3
6	1	4:22:00	4:05:00	sfoDF	vanNH	2	4
7	1	4:05:00	3:06:00	vanNH	sfoDF	3	4
8	1	3:06:00	2:30:00	sfoDF	sfoDF	4	4
9	1	2:30:00	0:02:00	sfoDF	vanNH	4	5
10	1	0:02:00	0:00:00	vanNH	NA	4	5
11	2	10:00:00	9:02:00	sfoDF	sfoDF	5	5
12	2	9:02:00	5:26:00	sfoDF	sfoDF	6	5
13	2	5:26:00	4:43:00	sfoDF	sfoDF	7	5
14	2	4:43:00	2:05:00	sfoDF	sfoDF	8	5
15	2	2:05:00	0:23:00	sfoDF	vanNH	8	6
16	2	0:23:00	0:01:00	vanNH	vanNH	8	7
17	2	0:01:00	0:00:00	vanNH	NA	8	7
18	3	10:00:00	8:57:00	vanNH	vanNH	8	8
19	3	8:57:00	8:33:00	vanNH	sfoDF	9	8
20	3	8:33:00	6:08:00	sfoDF	sfoDF	10	8
21	3	6:08:00	4:38:00	sfoDF	vanNH	10	9
22	3	4:38:00	4:08:00	vanNH	vanNH	10	10
23	3	4:08:00	3:40:00	vanNH	sfoDF	11	10
24	3	3:40:00	1:26:00	sfoDF	vanNH	11	11
25	3	1:26:00	0:59:00	vanNH	sfoDF	12	11
26	3	0:59:00	0:36:00	sfoDF	vanNH	12	12
27	3	0:36:00	0:00:00	vanNH	NA	12	12
28	4	10:00:00	8:25:00	sfoDF	vanNH	12	13
29	4	8:25:00	7:51:00	vanNH	sfoDF	13	13
30	4	7:51:00	7:27:00	sfoDF	vanNH	13	14
31	4	7:27:00	3:15:00	vanNH	vanNH	13	15
32	4	3:15:00	2:41:00	vanNH	vanNH	13	16
33	4	2:41:00	2:11:00	vanNH	sfoDF	14	16
34	4	2:11:00	1:25:00	sfoDF	sfoDF	15	16
35	4	1:25:00	0:47:00	sfoDF	vanNH	15	17
36	4	0:47:00	0:00:00	vanNH	NA	15	17
